time=2026-09-23T21:04:47.382-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=59141
time=2026-09-23T21:04:47.383-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=22 matched=0 cached=0 left=22
time=2026-09-23T21:04:48.610-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3176 matched=5 cached=0 left=3176
time=2026-09-23T21:04:53.818-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3176 cached=3172 left=4
time=2026-09-23T21:04:54.534-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=5 left=3172
time=2026-09-23T21:05:00.702-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:01.583-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3194 matched=3175 cached=3173 left=21
time=2026-09-23T21:05:02.511-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3210 matched=3192 cached=3190 left=20
time=2026-09-23T21:05:03.429-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=16 cached=5 left=3171
time=2026-09-23T21:05:09.516-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3176 cached=3172 left=4
time=2026-09-23T21:05:10.366-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3477 matched=16 cached=16 left=3461
time=2026-09-23T21:05:16.930-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3477 matched=3477 cached=3473 left=4
time=2026-09-23T21:05:17.802-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:18.686-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-23T21:05:19.543-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3167 left=10
time=2026-09-23T21:05:20.436-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3168 left=9
time=2026-09-23T21:05:21.328-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3168 left=9
time=2026-09-23T21:05:22.222-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-23T21:05:23.103-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3168 left=9
time=2026-09-23T21:05:24.001-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3168 left=9
time=2026-09-23T21:05:24.887-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3194 matched=3175 cached=3173 left=21
time=2026-09-23T21:05:25.783-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3168 left=9
time=2026-09-23T21:05:26.669-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=16 cached=16 left=3160
time=2026-09-23T21:05:32.719-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3167 cached=16 left=3160
time=2026-09-23T21:05:38.737-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3167 cached=3167 left=9
time=2026-09-23T21:05:39.627-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:40.518-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=16 cached=16 left=3160
time=2026-09-23T21:05:46.571-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3176 cached=3172 left=4
time=2026-09-23T21:05:47.429-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3167 cached=16 left=3160
time=2026-09-23T21:05:53.501-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3176 matched=3167 cached=3167 left=9
time=2026-09-23T21:05:54.388-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:55.274-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:56.170-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:05:57.056-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3195 matched=3175 cached=3173 left=22
time=2026-09-23T21:05:57.973-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3195 matched=3175 cached=3173 left=22
time=2026-09-23T21:05:58.881-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3213 matched=3193 cached=3191 left=22
time=2026-09-23T21:05:59.781-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3213 matched=3193 cached=3191 left=22
time=2026-09-23T21:06:00.685-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:06:01.588-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-23T21:06:02.492-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-23T21:06:03.353-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3168 cached=3167 left=10
