time=2026-09-23T23:58:10.018-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=51599
time=2026-09-23T23:58:10.019-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=24 matched=0 cached=0 left=24
time=2026-09-23T23:58:10.719-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3178 matched=4 cached=0 left=3178
time=2026-09-23T23:58:47.558-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-23T23:58:48.375-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=4 left=3175
time=2026-09-23T23:59:26.172-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-23T23:59:27.217-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3209 matched=3188 cached=3188 left=21
time=2026-09-23T23:59:28.240-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3239 matched=3219 cached=3219 left=20
time=2026-09-23T23:59:29.238-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=4 left=3174
time=2026-09-24T00:00:05.837-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-24T00:00:06.542-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=15 cached=15 left=3464
time=2026-09-24T00:00:46.307-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=3478 cached=3474 left=5
time=2026-09-24T00:00:47.117-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:00:48.177-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:00:49.000-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3166 left=13
time=2026-09-24T00:00:50.034-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:00:51.066-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:00:52.062-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:00:52.770-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:00:53.760-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:00:54.791-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3210 matched=3189 cached=3189 left=21
time=2026-09-24T00:00:55.830-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:00:56.850-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=15 left=3163
time=2026-09-24T00:01:33.045-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=15 left=3163
time=2026-09-24T00:02:09.406-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=3166 left=12
time=2026-09-24T00:02:10.666-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:02:11.917-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=15 left=3163
time=2026-09-24T00:02:48.289-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-24T00:02:49.293-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=15 left=3163
time=2026-09-24T00:03:26.538-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=3166 left=12
time=2026-09-24T00:03:27.811-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:03:29.071-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:03:30.295-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:03:31.540-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3211 matched=3189 cached=3189 left=22
time=2026-09-24T00:03:33.189-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3211 matched=3189 cached=3189 left=22
time=2026-09-24T00:03:37.986-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3247 matched=3225 cached=3225 left=22
time=2026-09-24T00:03:39.137-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3285 matched=3263 cached=3263 left=22
time=2026-09-24T00:03:41.294-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:03:42.336-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:03:43.433-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:03:44.186-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
